200      GET        1l        6w       42c http://192.168.70.193/xmlrpc.php
200      GET      142l      388w     7502c http://192.168.70.193/user/login
200      GET      303l      849w     8191c http://192.168.70.193/MAINTAINERS.txt
200      GET      236l     1427w     9642c http://192.168.70.193/UPGRADE.txt
200      GET       42l      223w     1451c http://192.168.70.193/INSTALL.mysql.txt
200      GET      136l      360w     7145c http://192.168.70.193/user/password
200      GET      398l     2460w    17861c http://192.168.70.193/INSTALL.txt
200      GET       54l      164w     3151c http://192.168.70.193/install.php
403      GET      149l      400w     7563c http://192.168.70.193/search
403      GET       60l      307w     4083c http://192.168.70.193/update.php
403      GET      126l      285w     5980c http://192.168.70.193/user/logout
200      GET      144l      455w        0c http://192.168.70.193/user/register
200      GET      177l      862w        0c http://192.168.70.193/filter/tips
200      GET       44l      290w     1874c http://192.168.70.193/INSTALL.pgsql.txt
403      GET      150l      405w     7737c http://192.168.70.193/node/add
403      GET      150l      404w     7718c http://192.168.70.193/admin
200      GET       31l      209w     1298c http://192.168.70.193/INSTALL.sqlite.txt
403      GET      149l      402w     7575c http://192.168.70.193/cron.php
200      GET      339l     2968w    18092c http://192.168.70.193/LICENSE.txt
403      GET       10l       30w      294c http://192.168.70.193/.git-rewrite
403      GET       10l       30w      295c http://192.168.70.193/.bash_history
403      GET       10l       30w      292c http://192.168.70.193/.cvsignore
403      GET       10l       30w      289c http://192.168.70.193/.config
403      GET       10l       30w      286c http://192.168.70.193/.git
403      GET       10l       30w      290c http://192.168.70.193/.forward
403      GET       10l       30w      286c http://192.168.70.193/.cvs
403      GET       10l       30w      298c http://192.168.70.193/.git-rewrite.txt
403      GET       10l       30w      289c http://192.168.70.193/.bashrc
403      GET       10l       30w      296c http://192.168.70.193/.cvsignore.txt
403      GET       10l       30w      299c http://192.168.70.193/.bash_history.txt
403      GET       10l       30w      288c http://192.168.70.193/.cache
403      GET       10l       30w      293c http://192.168.70.193/.config.txt
403      GET       10l       30w      294c http://192.168.70.193/.forward.txt
403      GET       10l       30w      290c http://192.168.70.193/.cvs.txt
403      GET       10l       30w      293c http://192.168.70.193/.bashrc.txt
403      GET       10l       30w      290c http://192.168.70.193/.git.txt
403      GET       10l       30w      292c http://192.168.70.193/.cache.txt
403      GET       10l       30w      300c http://192.168.70.193/.bash_history.html
403      GET       10l       30w      299c http://192.168.70.193/.git-rewrite.html
403      GET       10l       30w      297c http://192.168.70.193/.cvsignore.html
403      GET       10l       30w      294c http://192.168.70.193/.config.html
403      GET       10l       30w      295c http://192.168.70.193/.forward.html
403      GET       10l       30w      291c http://192.168.70.193/.cvs.html
403      GET       10l       30w      293c http://192.168.70.193/.cache.html
403      GET       10l       30w      299c http://192.168.70.193/.bash_history.php
403      GET       10l       30w      298c http://192.168.70.193/.git-rewrite.php
403      GET       10l       30w      296c http://192.168.70.193/.cvsignore.php
403      GET       10l       30w      293c http://192.168.70.193/.config.php
403      GET       10l       30w      294c http://192.168.70.193/.bashrc.html
403      GET       10l       30w      291c http://192.168.70.193/.git.html
403      GET       10l       30w      293c http://192.168.70.193/.config.asp
403      GET       10l       30w      294c http://192.168.70.193/.forward.php
403      GET       10l       30w      292c http://192.168.70.193/.cache.php
403      GET       10l       30w      290c http://192.168.70.193/.cvs.php
403      GET       10l       30w      299c http://192.168.70.193/.bash_history.asp
403      GET       10l       30w      296c http://192.168.70.193/.cvsignore.asp
403      GET       10l       30w      298c http://192.168.70.193/.git-rewrite.asp
403      GET       10l       30w      293c http://192.168.70.193/.bashrc.php
403      GET       10l       30w      290c http://192.168.70.193/.git.php
403      GET       10l       30w      292c http://192.168.70.193/.cache.asp
403      GET       10l       30w      299c http://192.168.70.193/.git-rewrite.aspx
403      GET       10l       30w      297c http://192.168.70.193/.cvsignore.aspx
403      GET       10l       30w      290c http://192.168.70.193/.git.asp
403      GET       10l       30w      293c http://192.168.70.193/.bashrc.asp
403      GET       10l       30w      290c http://192.168.70.193/.cvs.asp
403      GET       10l       30w      300c http://192.168.70.193/.bash_history.aspx
403      GET       10l       30w      294c http://192.168.70.193/.config.aspx
403      GET       10l       30w      294c http://192.168.70.193/.forward.asp
403      GET       10l       30w      298c http://192.168.70.193/.git-rewrite.jsp
403      GET       10l       30w      293c http://192.168.70.193/.cache.aspx
403      GET       10l       30w      294c http://192.168.70.193/.bashrc.aspx
403      GET       10l       30w      296c http://192.168.70.193/.cvsignore.jsp
403      GET       10l       30w      291c http://192.168.70.193/.cvs.aspx
403      GET       10l       30w      293c http://192.168.70.193/.config.jsp
403      GET       10l       30w      291c http://192.168.70.193/.git.aspx
403      GET       10l       30w      295c http://192.168.70.193/.forward.aspx
403      GET       10l       30w      299c http://192.168.70.193/.bash_history.jsp
403      GET       10l       30w      292c http://192.168.70.193/.cache.jsp
403      GET       10l       30w      293c http://192.168.70.193/.bashrc.jsp
403      GET       10l       30w      293c http://192.168.70.193/.git/config
403      GET       10l       30w      291c http://192.168.70.193/.git/HEAD
403      GET       10l       30w      290c http://192.168.70.193/.cvs.jsp
403      GET       10l       30w      290c http://192.168.70.193/.git.jsp
403      GET       10l       30w      294c http://192.168.70.193/.forward.jsp
403      GET       10l       30w      292c http://192.168.70.193/.git/index
403      GET       10l       30w      292c http://192.168.70.193/.git/logs/
403      GET       10l       30w      294c http://192.168.70.193/.git_release
403      GET       10l       30w      296c http://192.168.70.193/.gitattributes
403      GET       10l       30w      292c http://192.168.70.193/.gitconfig
403      GET       10l       30w      297c http://192.168.70.193/.git/config.txt
403      GET       10l       30w      295c http://192.168.70.193/.git/HEAD.txt
403      GET       10l       30w      292c http://192.168.70.193/.gitignore
403      GET       10l       30w      287c http://192.168.70.193/.gitk
403      GET       10l       30w      296c http://192.168.70.193/.git/logs/.txt
403      GET       10l       30w      296c http://192.168.70.193/.git/index.txt
403      GET       10l       30w      296c http://192.168.70.193/.gitconfig.txt
403      GET       10l       30w      300c http://192.168.70.193/.gitattributes.txt
403      GET       10l       30w      298c http://192.168.70.193/.git_release.txt
403      GET       10l       30w      298c http://192.168.70.193/.git/config.html
403      GET       10l       30w      296c http://192.168.70.193/.gitignore.txt
403      GET       10l       30w      296c http://192.168.70.193/.git/HEAD.html
403      GET       10l       30w      291c http://192.168.70.193/.gitk.txt
403      GET       10l       30w      297c http://192.168.70.193/.git/logs/.html
403      GET       10l       30w      297c http://192.168.70.193/.git/index.html
403      GET       10l       30w      297c http://192.168.70.193/.gitconfig.html
403      GET       10l       30w      299c http://192.168.70.193/.git_release.html
403      GET       10l       30w      297c http://192.168.70.193/.gitignore.html
403      GET       10l       30w      301c http://192.168.70.193/.gitattributes.html
403      GET       10l       30w      295c http://192.168.70.193/.git/HEAD.php
403      GET       10l       30w      297c http://192.168.70.193/.git/config.php
403      GET       10l       30w      292c http://192.168.70.193/.gitk.html
403      GET       10l       30w      296c http://192.168.70.193/.git/index.php
403      GET       10l       30w      296c http://192.168.70.193/.git/logs/.php
403      GET       10l       30w      296c http://192.168.70.193/.gitconfig.php
