200      GET       50l       88w     1091c http://192.168.70.209/search.php
200      GET       42l      234w     2961c http://192.168.70.209/display.php
200      GET       43l       79w      917c http://192.168.70.209/index.php
200      GET       51l       87w     1210c http://192.168.70.209/manage.php
200      GET      110l      162w     1207c http://192.168.70.209/css/style.css
200      GET       43l       79w      917c http://192.168.70.209/
403      GET        9l       28w      279c http://192.168.70.209/.html
403      GET        9l       28w      279c http://192.168.70.209/.php
403      GET        9l       28w      279c http://192.168.70.209/.hta
403      GET        9l       28w      279c http://192.168.70.209/.hta.txt
403      GET        9l       28w      279c http://192.168.70.209/.htaccess
403      GET        9l       28w      279c http://192.168.70.209/.hta.html
403      GET        9l       28w      279c http://192.168.70.209/.htaccess.txt
403      GET        9l       28w      279c http://192.168.70.209/.hta.php
403      GET        9l       28w      279c http://192.168.70.209/.htaccess.html
403      GET        9l       28w      279c http://192.168.70.209/.hta.asp
403      GET        9l       28w      279c http://192.168.70.209/.htaccess.php
403      GET        9l       28w      279c http://192.168.70.209/.htpasswd
403      GET        9l       28w      279c http://192.168.70.209/.hta.aspx
403      GET        9l       28w      279c http://192.168.70.209/.htaccess.asp
403      GET        9l       28w      279c http://192.168.70.209/.htpasswd.txt
403      GET        9l       28w      279c http://192.168.70.209/.hta.jsp
403      GET        9l       28w      279c http://192.168.70.209/.htaccess.aspx
403      GET        9l       28w      279c http://192.168.70.209/.htpasswd.html
403      GET        9l       28w      279c http://192.168.70.209/.htaccess.jsp
403      GET        9l       28w      279c http://192.168.70.209/.htpasswd.php
403      GET        9l       28w      279c http://192.168.70.209/.htpasswd.asp
403      GET        9l       28w      279c http://192.168.70.209/.htpasswd.aspx
403      GET        9l       28w      279c http://192.168.70.209/.htpasswd.jsp
200      GET        0l        0w        0c http://192.168.70.209/config.php
301      GET        9l       28w      314c http://192.168.70.209/css => http://192.168.70.209/css/
301      GET        9l       28w      319c http://192.168.70.209/includes => http://192.168.70.209/includes/
302      GET        0l        0w        0c http://192.168.70.209/logout.php => manage.php
200      GET       55l       86w     1056c http://192.168.70.209/results.php
403      GET        9l       28w      279c http://192.168.70.209/server-status
302      GET        0l        0w        0c http://192.168.70.209/session.php => manage.php
302      GET        0l        0w        0c http://192.168.70.209/welcome.php => manage.php
